id,date,lme_copper_cash
1,2015-10-25,5236.7
1,2015-11-01,5185.6
1,2015-11-08,5101.0
1,2015-11-15,4910.4
1,2015-11-22,4686.8
1,2015-11-29,4577.3
1,2015-12-06,4593.1
1,2015-12-13,4603.8
1,2015-12-20,4601.8
1,2015-12-27,4677.25
1,2016-01-03,4700.666666666667
1,2016-01-10,4578.5
1,2016-01-17,4362.7
1,2016-01-24,4398.3
1,2016-01-31,4511.5
1,2016-02-07,4614.4
1,2016-02-14,4514.5
1,2016-02-21,4574.9
1,2016-02-28,4656.2
1,2016-03-06,4791.8
1,2016-03-13,4955.5
1,2016-03-20,4998.2
1,2016-03-27,5035.25
1,2016-04-03,4903.75
1,2016-04-10,4747.2
1,2016-04-17,4768.5
1,2016-04-24,4917.9
1,2016-05-01,4965.1
1,2016-05-08,4872.0
1,2016-05-15,4720.3
1,2016-05-22,4620.3
1,2016-05-29,4655.2
1,2016-06-05,4647.25
1,2016-06-12,4587.1
1,2016-06-19,4540.7
1,2016-06-26,4653.9
1,2016-07-03,4772.0
1,2016-07-10,4780.3
1,2016-07-17,4866.6
1,2016-07-24,4917.4
1,2016-07-31,4873.3
1,2016-08-07,4843.3
1,2016-08-14,4801.1
1,2016-08-21,4775.2
1,2016-08-28,4674.2
1,2016-09-04,4609.625
1,2016-09-11,4621.8
1,2016-09-18,4673.9
1,2016-09-25,4765.5
1,2016-10-02,4805.0
1,2016-10-09,4771.8
1,2016-10-16,4763.9
1,2016-10-23,4650.0
1,2016-10-30,4723.8
1,2016-11-06,4884.4
1,2016-11-13,5386.0
1,2016-11-20,5479.8
1,2016-11-27,5674.9
1,2016-12-04,5792.5
1,2016-12-11,5854.6
1,2016-12-18,5717.8
1,2016-12-25,5490.6
1,2017-01-01,5500.333333333333
1,2017-01-08,5558.0
1,2017-01-15,5690.5
1,2017-01-22,5753.1
1,2017-01-29,5851.6
1,2017-02-05,5889.6
1,2017-02-12,5837.6
1,2017-02-19,6045.2
1,2017-02-26,5976.8
1,2017-03-05,5961.4
1,2017-03-12,5762.9
1,2017-03-19,5838.2
1,2017-03-26,5788.3
1,2017-04-02,5800.8
1,2017-04-09,5798.1
1,2017-04-16,5704.25
1,2017-04-23,5608.375
1,2017-04-30,5663.4
1,2017-05-07,5614.125
1,2017-05-14,5514.9
1,2017-05-21,5566.2
1,2017-05-28,5667.75
1,2017-06-04,5604.875
1,2017-06-11,5617.8
1,2017-06-18,5677.6
1,2017-06-25,5704.1
1,2017-07-02,5839.0
1,2017-07-09,5839.3
1,2017-07-16,5843.5
1,2017-07-23,5958.7
1,2017-07-30,6199.2
1,2017-08-06,6313.5
1,2017-08-13,6386.4
1,2017-08-20,6415.8
1,2017-08-27,6588.9
1,2017-09-03,6780.0
1,2017-09-10,6852.7
1,2017-09-17,6548.2
1,2017-09-24,6462.3
1,2017-10-01,6431.0
1,2017-10-08,6501.0
1,2017-10-15,6720.8
1,2017-10-22,7001.8
1,2017-10-29,6959.9
1,2017-11-05,6862.5
1,2017-11-12,6830.3
1,2017-11-19,6759.7
1,2017-11-26,6863.1
1,2017-12-03,6788.7
1,2017-12-10,6612.0
1,2017-12-17,6661.0
